Title,Date,Link,Company
Human Resource Intern at Amref Kenya, 28/Feb/2023,https://jobwebkenya.com/jobs/human-resource-intern-amref-kenya/,Amref Kenya
Africa Freshwater Protection Specialist at Nature Conservancy, 28/Feb/2023,https://jobwebkenya.com/jobs/africa-freshwater-protection-specialist-nature-conservancy/,Nature Conservancy
"Deputy Vice Chancellor (Planning, Finance and Administration) at Karatina University", 28/Feb/2023,https://jobwebkenya.com/jobs/deputy-vice-chancellor-planning-finance-administration-karatina-university/,Karatina University
"Deputy Vice Chancellor (Academic, Research and Student Affairs) at Karatina University", 28/Feb/2023,https://jobwebkenya.com/jobs/deputy-vice-chancellor-academic-research-student-affairs-karatina-university/,Karatina University
Vice Chancellor at Karatina University, 28/Feb/2023,https://jobwebkenya.com/jobs/vice-chancellor-karatina-university/,Karatina University
Acess to Finance Officer-TRANSFORM Project at Heifer International, 28/Feb/2023,https://jobwebkenya.com/jobs/acess-finance-officer-transform-project-heifer-international/,Heifer International
Sales Executive (Reale Estate/Land Sale) at Fanisi HR Solutions, 28/Feb/2023,https://jobwebkenya.com/jobs/sales-executive-reale-estateland-sale-fanisi-hr-solutions/,Fanisi HR Solutions
Submit CV’s – Latest Recruitment at Trans Nzoia County Public Service Board, 27/Feb/2023,https://jobwebkenya.com/jobs/trans-nzoia-county-public-service-board/,Trans Nzoia County Public Service Board
Submit CV’s – New Recruitment at Oasis Healthcare, 27/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-new-recruitment-oasis-healthcare-4/,Oasis Healthcare
Head of Car Sales at Cars45, 25/Feb/2023,https://jobwebkenya.com/jobs/head-car-sales-cars45/,Cars45
Submit CV’s – New Recruitment at Mediheal Group of Hospitals, 28/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-new-recruitment-mediheal-group-hospitals-2/,Mediheal Group of Hospitals
Marketing Executive- Nyeri at Mediheal Group of Hospitals, 28/Feb/2023,https://jobwebkenya.com/jobs/marketing-executive-nyeri-mediheal-group-hospitals/,Mediheal Group of Hospitals
Marketing Executive- Meru at Mediheal Group of Hospitals, 28/Feb/2023,https://jobwebkenya.com/jobs/marketing-executive-meru-mediheal-group-hospitals/,Mediheal Group of Hospitals
Marketing Executive- laikipia at Mediheal Group of Hospitals, 28/Feb/2023,https://jobwebkenya.com/jobs/marketing-executive-laikipia-mediheal-group-hospitals/,Mediheal Group of Hospitals
Marketing Executive- Nyandarua at Mediheal Group of Hospitals, 28/Feb/2023,https://jobwebkenya.com/jobs/marketing-executive-nyandarua-mediheal-group-hospitals/,Mediheal Group of Hospitals
Marketing Executive- Nakuru at Mediheal Group of Hospitals, 28/Feb/2023,https://jobwebkenya.com/jobs/marketing-executive-nakuru-mediheal-group-hospitals/,Mediheal Group of Hospitals
Marketing Executive- Narok at Mediheal Group of Hospitals, 28/Feb/2023,https://jobwebkenya.com/jobs/marketing-executive-narok-mediheal-group-hospitals/,Mediheal Group of Hospitals
Marketing Executive- Bomet at Mediheal Group of Hospitals, 28/Feb/2023,https://jobwebkenya.com/jobs/marketing-executive-bomet-mediheal-group-hospitals/,Mediheal Group of Hospitals
Marketing Executive- Kericho at Mediheal Group of Hospitals, 28/Feb/2023,https://jobwebkenya.com/jobs/marketing-executive-kericho-mediheal-group-hospitals/,Mediheal Group of Hospitals
Accountant -Lodges at Frank Management Consult Ltd, 28/Feb/2023,https://jobwebkenya.com/jobs/accountant-lodges-frank-management-consult-ltd/,Frank Management Consult Ltd
Internal Motor Assessor at HCS Africa, 28/Feb/2023,https://jobwebkenya.com/jobs/internal-motor-assessor-hcs-africa/,HCS Africa
Managing Director & CEO at Geothermal Development Company (GDC), 28/Feb/2023,https://jobwebkenya.com/jobs/managing-director-ceo-geothermal-development-company-gdc/,Geothermal Development Company (GDC)
WV Somalia Program Development and Quality Assurance Director at World Vision Kenya, 28/Feb/2023,https://jobwebkenya.com/jobs/wv-somalia-program-development-quality-assurance-director-world-vision-kenya/,World Vision Kenya
Administrative Officer at UNICEF, 28/Feb/2023,https://jobwebkenya.com/jobs/administrative-officer-unicef/,UNICEF
Team Leader at iHuman Resource Consulting Ltd (iHR), 28/Feb/2023,https://jobwebkenya.com/jobs/team-leader-ihuman-resource-consulting-ltd-ihr/,iHuman Resource Consulting Ltd (iHR)
Broker Support at Cigna, 28/Feb/2023,https://jobwebkenya.com/jobs/broker-support-cigna/,Cigna
Fundraising Manager at Book Bunk, 28/Feb/2023,https://jobwebkenya.com/jobs/fundraising-manager-book-bunk/,Book Bunk
Assistant Accountant – International at Action Aid, 28/Feb/2023,https://jobwebkenya.com/jobs/assistant-accountant-international-action-aid/,Action Aid
"Head of Academics at Aga Khan Education Service, Kenya (AKESK)", 28/Feb/2023,https://jobwebkenya.com/jobs/head-academics-aga-khan-education-service-kenya-akesk/,"Aga Khan Education Service, Kenya (AKESK)"
HR Manager- Hospitality at Corporate Staffing, 28/Feb/2023,https://jobwebkenya.com/jobs/hr-manager-hospitality-corporate-staffing/,Corporate Staffing
Tailor at Corporate Staffing, 28/Feb/2023,https://jobwebkenya.com/jobs/tailor-corporate-staffing/,Corporate Staffing
Submit CV’s – New Recruitment at Juja Road Hospital, 24/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-new-recruitment-juja-road-hospital/, Juja Road Hospital
Submit CV’s – Latest Recruitment at KCA University (KCAU), 23/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-latest-recruitment-kca-university-kcau-3/,KCA University (KCAU)
Submit CV’s – New Recruitment at Flexi Personnel Ltd, 23/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-new-recruitment-flexi-personnel-ltd/,Flexi-Personnel
Head of Capability and Development at Wasoko, 28/Feb/2023,https://jobwebkenya.com/jobs/head-capability-development-wasoko/,Wasoko
Housekeeping Supervisor at Fairmont Hotels & Resorts, 28/Feb/2023,https://jobwebkenya.com/jobs/housekeeping-supervisor-fairmont-hotels-resorts-3/,Fairmont Hotels & Resorts
Senior Resettlement Assistant – Dadaab at United Nations High Commissioner for Refugees (UNHCR), 28/Feb/2023,https://jobwebkenya.com/jobs/senior-resettlement-assistant-dadaab-united-nations-high-commissioner-refugees-unhcr-2/,United Nations High Commissioner for Refugees (UNHCR)
Senior Programme Associate at United Nations High Commissioner for Refugees (UNHCR), 28/Feb/2023,https://jobwebkenya.com/jobs/senior-programme-associate-united-nations-high-commissioner-refugees-unhcr/,United Nations High Commissioner for Refugees (UNHCR)
Business Manager at Swift Hands Africa, 28/Feb/2023,https://jobwebkenya.com/jobs/business-manager-swift-hands-africa-2/,Swift Hands Africa
Assistant Finance Officer – Dadaab at United Nations High Commissioner for Refugees (UNHCR), 28/Feb/2023,https://jobwebkenya.com/jobs/assistant-finance-officer-dadaab-united-nations-high-commissioner-refugees-unhcr/,United Nations High Commissioner for Refugees (UNHCR)
Resettlement Assistant at United Nations High Commissioner for Refugees (UNHCR), 28/Feb/2023,https://jobwebkenya.com/jobs/resettlement-assistant-united-nations-high-commissioner-refugees-unhcr-2/,United Nations High Commissioner for Refugees (UNHCR)
Project Control Associate – Kakuma at United Nations High Commissioner for Refugees (UNHCR), 28/Feb/2023,https://jobwebkenya.com/jobs/project-control-associate-kakuma-united-nations-high-commissioner-refugees-unhcr/,United Nations High Commissioner for Refugees (UNHCR)
"Purchase Associate/ Coordinator, MMD Administration at Aga Khan University Hospital", 28/Feb/2023,https://jobwebkenya.com/jobs/purchase-associate-coordinator-mmd-administration-aga-khan-university-hospital/,Aga Khan University Hospital
"Laboratory Technologist, Outreach Clinic Nyahururu at Aga Khan University Hospital", 28/Feb/2023,https://jobwebkenya.com/jobs/laboratory-technologist-outreach-clinic-nyahururu-aga-khan-university-hospital/,Aga Khan University Hospital
"Medical Officer, Outreach Clinic Nyahururu at Aga Khan University Hospital", 28/Feb/2023,https://jobwebkenya.com/jobs/medical-officer-outreach-clinic-nyahururu-aga-khan-university-hospital/,Aga Khan University Hospital
Submit CV’s – Latest Recruitment at Engineers Board of Kenya, 28/Feb/2023,https://jobwebkenya.com/jobs/engineers-board-kenya/,Engineers Board of Kenya
Principal Accountant at Engineers Board of Kenya, 28/Feb/2023,https://jobwebkenya.com/jobs/principal-accountant-engineers-board-kenya/,Engineers Board of Kenya
"Director, Corporate Services at Engineers Board of Kenya", 28/Feb/2023,https://jobwebkenya.com/jobs/director-corporate-services-engineers-board-kenya/,Engineers Board of Kenya
"Manager, Corporate Communications at Engineers Board of Kenya", 28/Feb/2023,https://jobwebkenya.com/jobs/manager-corporate-communications-engineers-board-kenya/,Engineers Board of Kenya
"Manager, Capacity Building (Accreditation) at Engineers Board of Kenya", 28/Feb/2023,https://jobwebkenya.com/jobs/manager-capacity-building-accreditation-engineers-board-kenya/,Engineers Board of Kenya
"Manager, Compliance and Enforcement at Engineers Board of Kenya", 28/Feb/2023,https://jobwebkenya.com/jobs/manager-compliance-enforcement-engineers-board-kenya/,Engineers Board of Kenya
Principal Capacity Building Officer (Internship) at Engineers Board of Kenya, 28/Feb/2023,https://jobwebkenya.com/jobs/principal-capacity-building-officer-internship-engineers-board-kenya/,Engineers Board of Kenya
Principal Auditor at Engineers Board of Kenya, 28/Feb/2023,https://jobwebkenya.com/jobs/principal-auditor-engineers-board-kenya/,Engineers Board of Kenya
Principal Planning Officer at Engineers Board of Kenya, 28/Feb/2023,https://jobwebkenya.com/jobs/principal-planning-officer-engineers-board-kenya/,Engineers Board of Kenya
Senior Records Management Officer at Engineers Board of Kenya, 28/Feb/2023,https://jobwebkenya.com/jobs/senior-records-management-officer-engineers-board-kenya/,Engineers Board of Kenya
Submit CV’s – New Recruitment at Palladium International, 23/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-new-recruitment-palladium-international-3/,Palladium International
Submit CV’s – Latest Recruitment at PATH, 22/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-latest-recruitment-path/,PATH 
Submit CV’s – New Recruitment at Genesis Analytics, 22/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-new-recruitment-genesis-analytics/,Genesis Analytics
Principal Supply Chain Management Officer at Engineers Board of Kenya, 28/Feb/2023,https://jobwebkenya.com/jobs/principal-supply-chain-management-officer-engineers-board-kenya/,Engineers Board of Kenya
Regional Change Management Officer (Business Transformation) (P3) at International Organization for Migration (IOM), 28/Feb/2023,https://jobwebkenya.com/jobs/regional-change-management-officer-business-transformation-p3-international-organization-migration-iom/,International Organization for Migration (IOM)
CICC Sales and Marketing Officer at Bible Translation and Literacy, 28/Feb/2023,https://jobwebkenya.com/jobs/cicc-sales-marketing-officer-bible-translation-literacy/,Bible Translation and Literacy
Office Assistants (Pre-School Assistant) Grade KPA 10 at Kenya Ports Authority, 28/Feb/2023,https://jobwebkenya.com/jobs/office-assistants-pre-school-assistant-grade-kpa-10-kenya-ports-authority/,Kenya Ports Authority
Pre -School Teachers Grade KPA 9 at Kenya Ports Authority, 28/Feb/2023,https://jobwebkenya.com/jobs/pre-school-teachers-grade-kpa-9-kenya-ports-authority/,Kenya Ports Authority
Technical Manager at Tavevo Water and Sewerage Company Limited, 28/Feb/2023,https://jobwebkenya.com/jobs/technical-manager-tavevo-water-sewerage-company-limited/,Tavevo Water and Sewerage Company Limited
Business Manager at Swift Hands Africa, 28/Feb/2023,https://jobwebkenya.com/jobs/business-manager-swift-hands-africa/,Swift Hands Africa
Pharmacy Technician at Medecins Sans Frontieres (MSF), 28/Feb/2023,https://jobwebkenya.com/jobs/pharmacy-technician-medecins-sans-frontieres-msf-2/,Medecins Sans Frontieres (MSF)
HP Supervisor at Medecins Sans Frontieres (MSF), 28/Feb/2023,https://jobwebkenya.com/jobs/hp-supervisor-medecins-sans-frontieres-msf/,Medecins Sans Frontieres (MSF)
Purchase to Pay Specialist at DHL, 28/Feb/2023,https://jobwebkenya.com/jobs/purchase-pay-specialist-dhl/,DHL
Party Chief at Millennium Water Alliance, 28/Feb/2023,https://jobwebkenya.com/jobs/party-chief-millennium-water-alliance/,Millennium Water Alliance
Senior Manager: Big Data CVM at Safaricom Kenya, 28/Feb/2023,https://jobwebkenya.com/jobs/senior-manager-big-data-cvm-safaricom-kenya/,Safaricom Kenya
Sales Team Lead – Kitui at SunCulture Kenya Ltd, 28/Feb/2023,https://jobwebkenya.com/jobs/sales-team-lead-kitui-sunculture-kenya-ltd/,SunCulture Kenya Ltd
Sales Team Lead – Embu at SunCulture Kenya Ltd, 28/Feb/2023,https://jobwebkenya.com/jobs/sales-team-lead-embu-sunculture-kenya-ltd-2/,SunCulture Kenya Ltd
Service Center Associate- Matunda at SunCulture Kenya Ltd, 28/Feb/2023,https://jobwebkenya.com/jobs/service-center-associate-matunda-sunculture-kenya-ltd/,SunCulture Kenya Ltd
AML Compliance Specialist at NCBA Group, 28/Feb/2023,https://jobwebkenya.com/jobs/aml-compliance-specialist-ncba-group/,NCBA Group
"Senior Bank Officer, Business Development and Marketing at Development Bank of Kenya", 28/Feb/2023,https://jobwebkenya.com/jobs/senior-bank-officer-business-development-marketing-development-bank-kenya/,Development Bank of Kenya
Submit CV’s – New Recruitment at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-new-recruitment-national-environment-management-authority-nema-3/,National Environment Management Authority (NEMA)
Senior Office Administrator at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/senior-office-administrator-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
Principal Information Communication Technology Officer at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/principal-information-communication-technology-officer-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
Principal Supply Chain Management Officer at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/principal-supply-chain-management-officer-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
Submit CV’s – New Recruitment at Independent Policing Oversight Authority (IPOA), 21/Feb/2023,https://jobwebkenya.com/jobs/independent-policing-oversight-authority-ipoa/,Independent Policing Oversight Authority (IPOA)
Submit CV’s – Latest Recruitment at Flexi-Personnel, 21/Feb/2023,https://jobwebkenya.com/jobs/at-flexi-personnel/,Flexi-Personnel
Submit CV’s – New Recruitment at Monarch Boutique Hotel, 21/Feb/2023,https://jobwebkenya.com/jobs/monarch-boutique-hotel/,Monarch Boutique Hotel
Principal Environment Officer at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/principal-environment-officer-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
Senior Principal Information Communication Technology Officer at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/senior-principal-information-communication-technology-officer-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
Senior Principal Corporate Communication Officer at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/senior-principal-corporate-communication-officer-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
Senior Principal Accountant at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/senior-principal-accountant-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
Senior Principal Environmental Compliance Officer at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/senior-principal-environmental-compliance-officer-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
Senior Principal Environmental Research Officer at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/senior-principal-environmental-research-officer-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
Senior Principal Internal Audit at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/senior-principal-internal-audit-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
Deputy Director Internal Audit at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/deputy-director-internal-audit-national-environment-management-authority-nema/,"National Environment Management Authority (NEMA)The National Environment Management Authority (NEMA), is established under the Environmental Management and Co-ordination Act No. 8 of 1999 (EMCA) as the principlal instrument of Goverment for the implementation of all policies relating to environment . EMCA 1999 was enacted against a backdrop of 78 sectoral laws dealing with various components of the environment, the deteriorating state of Kenya’s environment, as well as increasing social and economic inequalities, the combined effect of which negatively impacted on the environment. The supreme objective underlying the enactment of EMCA 1999 was to bring harmony in the management of the country’s environment."
Deputy Director Ecosystems Management at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/deputy-director-ecosystems-management-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
"Deputy Director, Environmental Education & Awareness at National Environment Management Authority (NEMA)", 28/Feb/2023,https://jobwebkenya.com/jobs/deputy-director-environmental-education-awareness-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
CS/Director Legal Services at National Environment Management Authority (NEMA), 28/Feb/2023,https://jobwebkenya.com/jobs/csdirector-legal-services-national-environment-management-authority-nema/,National Environment Management Authority (NEMA)
Labourer II- 2700 Positions at Nairobi County, 27/Feb/2023,https://jobwebkenya.com/jobs/labourer-ii-2700-positions-nairobi-county/,Nairobi County
Labourer I – 300 Positions at Nairobi County, 27/Feb/2023,https://jobwebkenya.com/jobs/labourer-300-positions-nairobi-county/,Nairobi County
Clerical Officer II – 37 Positions at Nairobi County, 27/Feb/2023,https://jobwebkenya.com/jobs/clerical-officer-ii-37-positions-nairobi-county/,Nairobi County
Chief Environment Officer – 12 Positions at Nairobi County, 27/Feb/2023,https://jobwebkenya.com/jobs/chief-environment-officer-12-positions-nairobi-county/,Nairobi County
Environmental Officer – 85 Positions at Nairobi County, 27/Feb/2023,https://jobwebkenya.com/jobs/environmental-officer-85-positions-nairobi-county/,Nairobi County
Inspection Manager at Crown Agents Ltd, 27/Feb/2023,https://jobwebkenya.com/jobs/inspection-manager-crown-agents-ltd/,Crown Agents Ltd
Junior Architect at West Kenya Real Estate Ltd, 27/Feb/2023,https://jobwebkenya.com/jobs/junior-architect-west-kenya-real-estate-ltd/,West Kenya Real Estate Ltd
Finance and Office Assistant at Amnesty International, 27/Feb/2023,https://jobwebkenya.com/jobs/finance-office-assistant-amnesty-international/,Amnesty International
Advocacy Manager * IEH at Christian Blind Mission (CBM), 27/Feb/2023,https://jobwebkenya.com/jobs/advocacy-manager-ieh-christian-blind-mission-cbm/,Christian Blind Mission (CBM)
Regional NTD Programme Manager at Christian Blind Mission (CBM), 27/Feb/2023,https://jobwebkenya.com/jobs/regional-ntd-programme-manager-christian-blind-mission-cbm/,Christian Blind Mission (CBM)
Submit CV’s – New Recruitment at Gap Recruitment Services Limited, 20/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-new-recruitment-gap-recruitment-services-limited-4/,Gap Recruitment Services Limited
Automotive Price Analyst at Cars45, 20/Feb/2023,https://jobwebkenya.com/jobs/automotive-price-analyst-cars45/,Cars45
Submit CV’s – Latest Recruitment at Jomo Kenyatta University of Agriculture Technology, 20/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-latest-recruitment-jomo-kenyatta-university-agriculture-technology-3/,Jomo Kenyatta University of Agriculture Technology
Humanitarian Inclusion Advisor at Christian Blind Mission (CBM), 27/Feb/2023,https://jobwebkenya.com/jobs/humanitarian-inclusion-advisor-christian-blind-mission-cbm/,Christian Blind Mission (CBM)
Submit CV’s – Latest Recruitment at Equity Afia Medical Centre – KISERIAN, 27/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-latest-recruitment-equity-afia-medical-centre-kiserian-10/,Equity Afia Medical Centre – KISERIAN
Dentist – Taita Taveta at Equity Afia Medical Centre – KISERIAN, 27/Feb/2023,https://jobwebkenya.com/jobs/dentist-taita-taveta-equity-afia-medical-centre-kiserian/,Equity Afia Medical Centre – KISERIAN
Community Oral Health Officer – Taita Taveta at Equity Afia Medical Centre – KISERIAN, 27/Feb/2023,https://jobwebkenya.com/jobs/community-oral-health-officer-taita-taveta-equity-afia-medical-centre-kiserian/,Equity Afia Medical Centre – KISERIAN
Nurse – Taita Taveta at Equity Afia Medical Centre – KISERIAN, 27/Feb/2023,https://jobwebkenya.com/jobs/nurse-taita-taveta-equity-afia-medical-centre-kiserian/,Equity Afia Medical Centre – KISERIAN
Laboratory Technologist – Taita Taveta at Equity Afia Medical Centre – KISERIAN, 27/Feb/2023,https://jobwebkenya.com/jobs/laboratory-technologist-taita-taveta-equity-afia-medical-centre-kiserian/,Equity Afia Medical Centre – KISERIAN
Pharmaceutical Technologist – Taita Taveta at Equity Afia Medical Centre – KISERIAN, 27/Feb/2023,https://jobwebkenya.com/jobs/pharmaceutical-technologist-taita-taveta-equity-afia-medical-centre-kiserian/,Equity Afia Medical Centre – KISERIAN
Community Oral Health Officer – Nkubu at Equity Afia Medical Centre – KISERIAN, 27/Feb/2023,https://jobwebkenya.com/jobs/community-oral-health-officer-nkubu-equity-afia-medical-centre-kiserian-2/,Equity Afia Medical Centre – KISERIAN
Pharmaceutical Technologist – Athi River at Equity Afia Medical Centre – KISERIAN, 27/Feb/2023,https://jobwebkenya.com/jobs/pharmaceutical-technologist-athi-river-equity-afia-medical-centre-kiserian-3/,Equity Afia Medical Centre – KISERIAN
Digital Marketer at Stedmak Gardens and Recreational Centre, 27/Feb/2023,https://jobwebkenya.com/jobs/digital-marketer-stedmak-gardens-recreational-centre/,Stedmak Gardens and Recreational Centre
Sales Executive at Lipa Later Limited, 27/Feb/2023,https://jobwebkenya.com/jobs/sales-executive-lipa-later-limited/,Lipa Later Limited
Trade Development Representative at HCS Africa, 27/Feb/2023,https://jobwebkenya.com/jobs/trade-development-representative-hcs-africa-2/,HCS Africa
Manager: Compliance and Anti Money Laundering at Absa Bank Limited, 27/Feb/2023,https://jobwebkenya.com/jobs/manager-compliance-anti-money-laundering-absa-bank-limited/,Absa Bank Limited
Senior Business Intelligence (BI) Developer at NCBA Group, 27/Feb/2023,https://jobwebkenya.com/jobs/senior-business-intelligence-bi-developer-ncba-group/,NCBA Group
Head of Business Development at NCBA Group, 27/Feb/2023,https://jobwebkenya.com/jobs/head-business-development-ncba-group/,NCBA Group
Data Engineer at NCBA Group, 27/Feb/2023,https://jobwebkenya.com/jobs/data-engineer-ncba-group/,NCBA Group
Senior Core Banking (T24) Developer at NCBA Group, 27/Feb/2023,https://jobwebkenya.com/jobs/senior-core-banking-t24-developer-ncba-group-2/,NCBA Group
Business Intelligence (BI) Developer at NCBA Group, 27/Feb/2023,https://jobwebkenya.com/jobs/business-intelligence-bi-developer-ncba-group/,NCBA Group
English Language Teacher at Makini High School, 27/Feb/2023,https://jobwebkenya.com/jobs/english-language-teacher-makini-high-school/,
Social Studies Teacher at Makini High School, 27/Feb/2023,https://jobwebkenya.com/jobs/social-studies-teacher-makini-high-school/,Makini High School
"Intern Sustainable Finance, I at UN-Habitat", 27/Feb/2023,https://jobwebkenya.com/jobs/intern-sustainable-finance-un-habitat-2/,UN-Habitat
Submit CV’s – New Recruitment at Nairobi City County Public Service Board, 20/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-new-recruitment-nairobi-city-county-public-service-board-4/,Nairobi City County Public Service Board
Submit CV’s – Latest Recruitment at Plan International, 17/Feb/2023,https://jobwebkenya.com/jobs/at-plan-international/,Plan International
Submit CV’s – Latest Recruitment at SBM Bank, 16/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-latest-recruitment-sbm-bank/,SBM Bank
"Intern- Human Resources Assistant, I at United Nations Office at Nairobi (UNON)", 27/Feb/2023,https://jobwebkenya.com/jobs/intern-human-resources-assistant-united-nations-office-nairobi-unon/,United Nations Office at Nairobi (UNON)
Terms of Reference for Consultancy to Develop an East Africa Online Learning Platform at Kenya Community Development Foundation, 27/Feb/2023,https://jobwebkenya.com/jobs/terms-reference-consultancy-develop-east-africa-online-learning-platform-kenya-community-development-foundation/,Kenya Community Development Foundation
PP 1 & PP2 Apprentice Teachers Maternity Covers at Nova Pioneer, 27/Feb/2023,https://jobwebkenya.com/jobs/pp-1-pp2-apprentice-teachers-maternity-covers-nova-pioneer/,Nova Pioneer
Grade 1 Resident Maternity Cover Teacher at Nova Pioneer, 27/Feb/2023,https://jobwebkenya.com/jobs/grade-1-resident-maternity-cover-teacher-nova-pioneer/,Nova Pioneer
Group Data Protection Officer at Koko Networks, 27/Feb/2023,https://jobwebkenya.com/jobs/group-data-protection-officer-koko-networks/,Koko Networks
Financial Reporting accounts assistant -EBKL at Equity Bank Kenya, 27/Feb/2023,https://jobwebkenya.com/jobs/financial-reporting-accounts-assistant-ebkl-equity-bank-kenya/,Equity Bank Kenya
Service Point Advisor at DHL, 27/Feb/2023,https://jobwebkenya.com/jobs/service-point-advisor-dhl-2/,DHL
Submit CV’s – New Recruitment at Comways Foundation, 27/Feb/2023,https://jobwebkenya.com/jobs/submit-cvs-new-recruitment-comways-foundation/,Comways Foundation
